,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Castro,BR,1583944031,-24.79,-50.01,81.01,34,0,3.36
1,Hobart,AU,1583943914,-42.88,147.33,55.99,82,0,5.82
2,Butaritari,KI,1583944046,3.07,172.79,83.66,79,100,16.8
3,Esperance,AU,1583944252,-33.87,121.9,62.6,77,30,9.17
4,Hermanus,ZA,1583944042,-34.42,19.23,80.01,73,100,14.0
5,New Norfolk,AU,1583944173,-42.78,147.06,55.99,82,0,5.82
6,Pevek,RU,1583944066,69.7,170.31,-14.01,93,100,3.29
7,Geraldton,AU,1583944253,-28.77,114.6,73.4,83,40,10.29
8,Dikson,RU,1583944060,73.51,80.55,10.62,93,100,28.52
9,Cape Town,ZA,1583944052,-33.93,18.42,80.01,64,81,10.29
10,Narsaq,GL,1583944236,60.92,-46.05,30.2,39,20,3.36
11,Biak,ID,1583944254,-0.91,122.88,82.26,74,0,5.3
12,Yellowknife,CA,1583943989,62.46,-114.35,-2.99,70,40,13.87
13,Russell,US,1583944239,32.35,-85.2,71.01,93,90,6.64
14,Rikitea,PF,1583943985,-23.12,-134.97,77.22,82,23,15.73
15,Ancud,CL,1583944254,-41.87,-73.82,60.8,82,75,10.29
16,Nikolskoye,RU,1583944208,59.7,30.79,42.8,81,90,15.66
17,Jamestown,US,1583943692,42.1,-79.24,39.2,64,75,8.05
18,Ushuaia,AR,1583943947,-54.8,-68.3,46.4,81,90,6.93
19,San Cristobal,VE,1583944043,7.77,-72.22,77.0,88,75,3.36
20,Olafsvik,IS,1583944255,64.89,-23.71,30.2,77,100,43.22
21,Severo-Yeniseyskiy,RU,1583944255,60.37,93.04,21.11,89,100,14.45
22,East London,ZA,1583943949,-33.02,27.91,69.8,100,75,8.05
23,Lebu,CL,1583944117,-37.62,-73.65,71.78,50,61,5.23
24,Bengkulu,ID,1583944194,-3.8,102.27,76.75,92,91,4.56
25,Saint-Philippe,RE,1583944041,-21.36,55.77,80.6,88,20,21.92
26,Grindavik,IS,1583944256,63.84,-22.43,32.0,70,75,29.97
27,Gerāsh,IR,1583944256,27.67,54.14,66.2,20,0,6.93
28,Albany,US,1583943979,42.6,-73.97,45.0,36,90,9.17
29,Sinnamary,GF,1583944257,5.38,-52.95,79.38,69,34,11.27
30,Severo-Kuril'sk,RU,1583944257,50.68,156.12,33.13,98,100,18.45
31,Tiksi,RU,1583943845,71.69,128.87,-26.0,83,0,9.48
32,Hong Kong,HK,1583944212,22.29,114.16,68.0,77,40,29.97
33,Tuatapere,NZ,1583944258,-46.13,167.68,50.0,81,26,1.99
34,Genhe,CN,1583944258,50.78,121.52,-1.23,91,83,8.7
35,Mataura,NZ,1583944122,-46.19,168.86,38.44,97,72,1.9
36,Yangambi,CD,1583944258,0.81,24.43,78.06,74,26,2.59
37,Los Llanos de Aridane,ES,1583944258,28.66,-17.92,69.8,73,20,9.17
38,Gonder,ET,1583944258,12.6,37.47,68.02,15,28,9.98
39,Port Alfred,ZA,1583944111,-33.59,26.89,70.0,95,100,5.01
40,Tasiilaq,GL,1583944259,65.61,-37.64,17.6,48,20,2.24
41,Kampot,KH,1583944259,10.62,104.18,80.6,88,20,2.24
42,Nizhniy Baskunchak,RU,1583944259,48.22,46.83,51.62,61,0,12.57
